DimProductionId,CountryCode,CountryName,ProductionCode,ProductionName,IsExpired,LicenseName,Licensor,LicenseType,ProductionId,LicenseClassification
134,DE,Germany,KB,Kinky Boots,1,Kinky Boots,_N/A,Musical,DE - KB,Drama
135,ES,Spain,FNM,Fiebre del sabado noche MAD,0,Saturday Night Fever,_N/A,Musical,ES - FNM,Film
136,ES,Spain,FNT,Fiebre del sabado noche Tour,0,Saturday Night Fever,_N/A,Musical,ES - FNT,Film
137,ES,Spain,CBT,Cabaret Tour,0,Cabaret,_N/A,Musical,ES - CBT,Other
138,ES,Spain,GSM,Grease MAD,0,Grease,Almo,Musical,ES - GSM,Film
139,ES,Spain,HSM,High School Musical Tour,0,Disney's High School Musical,_N/A,Musical,ES - HSM,SingThrough
140,ES,Spain,CBM,Cabaret MAD,0,Cabaret,_N/A,Musical,ES - CBM,Other
141,ES,Spain,CBB,Cabaret BCN,0,Cabaret,_N/A,Musical,ES - CBB,Other
142,ES,Spain,LPM,Los Productores MAD,0,The producers,_N/A,Musical,ES - LPM,Film
143,ES,Spain,HBB,HOTEL LA BELLA Y LA BESTIA BARCELONA,0,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,ES - HBB,Child
144,ES,Spain,BBB,La Bella y la Bestia BCN,0,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,ES - BBB,Child
145,ES,Spain,BBT,La Bella y la Bestia Tour,0,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,ES - BBT,Child
146,ES,Spain,BBM,La Bella y la Bestia MAD,0,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,ES - BBM,Child
147,ES,Spain,CCB,Chicago BCN,0,Chicago,National Artists Management Company,Musical,ES - CCB,Drama
148,ES,Spain,CCT,Chicago Tour,0,Chicago,National Artists Management Company,Musical,ES - CCT,Drama
149,ES,Spain,CCM,Chicado MAD,0,Chicago,National Artists Management Company,Musical,ES - CCM,Drama
150,ES,Spain,CMM,Chicado MAD II,0,Chicago,National Artists Management Company,Musical,ES - CMM,Drama
151,ES,Spain,MMD,Mamma Mía! MAD 2005,0,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,ES - MMD,Jukebox
152,ES,Spain,MBC,Mamma Mía! BCN 2008,0,Mamma Mia!,Littlestar Media Production Ltd. / Andrew Treagus Associates Ltd.,Musical,ES - MBC,Jukebox
